F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
0.22358449,0.38090793,1.2544374,0.13346693,0.28460661,2.1858569,0.46945657,0.28853752,-0.35125982,a
0.21950616,0.37848634,1.2868302,0.14352163,0.29851509,2.0695267,0.47313733,0.28306238,-0.39138284,a
0.22072135,0.3810297,1.2861179,0.14284219,0.29497586,2.0980676,0.47405667,0.28373386,-0.38594153,a
0.21807819,0.37970036,1.3022573,0.13429218,0.28518622,2.2064119,0.47375531,0.28317623,-0.38930841,a
0.21765433,0.38229781,1.3099236,0.12603717,0.27330459,2.3128601,0.47251044,0.2820909,-0.40665659,a
0.21395111,0.37775679,1.3327456,0.13035117,0.2816672,2.2582491,0.47565291,0.28037468,-0.41530716,a
0.20736482,0.37122181,1.375217,0.13372633,0.28729023,2.20846,0.48007117,0.27831819,-0.42875187,a
0.20821804,0.37187132,1.3714565,0.13126712,0.28571303,2.2445214,0.4772394,0.27620273,-0.44742081,a
0.21036106,0.37303766,1.3580255,0.13079325,0.28538201,2.262383,0.47390196,0.27465139,-0.462811,a
0.20318264,0.36698393,1.4063794,0.12793011,0.28363354,2.3023777,0.47766029,0.27191053,-0.47997365,a
0.19719527,0.35990383,1.4435684,0.12714047,0.28616479,2.3046663,0.47792816,0.26812788,-0.51636949,a
0.22091293,0.37738326,1.2686884,0.13757155,0.29062973,2.118869,0.47192086,0.28848932,-0.35692419,a
0.31910197,0.39115988,0.92498567,0.59973907,0.43022821,-0.41797997,0.56201596,0.34009035,-0.55186862,a
0.35677592,0.38620213,0.75192048,0.61011336,0.43602489,-0.45915875,0.53762817,0.33118959,-0.51036989,a
0.3266822,0.37258129,0.87533533,0.59079742,0.44300666,-0.36736889,0.55755191,0.31797631,-0.571121,a
0.25389693,0.35694443,1.262444,0.61893124,0.43254494,-0.4666372,0.63984087,0.33035132,-0.74987679,a
0.36467065,0.37541512,0.55961329,0.56785838,0.44820909,-0.24864157,0.52144623,0.31925626,-0.30111497,a
0.38689168,0.3813461,0.46847835,0.58246358,0.44277511,-0.31604168,0.50858053,0.33291363,-0.24413768,a
0.36755117,0.38429705,0.56004676,0.58212111,0.43558165,-0.31960082,0.52710215,0.33125433,-0.2801604,a
0.35589091,0.38321427,0.63088206,0.57662286,0.44116265,-0.28434058,0.53993056,0.33554477,-0.3432316,a
0.32366604,0.37676608,0.79012209,0.56297302,0.44530414,-0.19703958,0.56946055,0.33310292,-0.43031308,a
0.37738885,0.38728197,0.5035307,0.57570479,0.43790448,-0.27532778,0.52173784,0.33654216,-0.22962316,a
0.21927092,0.37546745,1.2782569,0.1454756,0.30366682,2.0250993,0.47230191,0.28338843,-0.38838248,a
0.37496185,0.39069383,0.51569588,0.56056044,0.44002587,-0.2287239,0.51369731,0.3315823,-0.22220051,a
0.34205119,0.38509347,0.65307247,0.53102705,0.44640809,-0.093159891,0.53476291,0.32551782,-0.27233981,a
0.30851915,0.3723349,0.83244394,0.51701779,0.45438306,-0.017955592,0.5593516,0.31691493,-0.38199114,a
0.3423979,0.38194676,0.65318033,0.52724626,0.45012843,-0.075880716,0.52994368,0.31942907,-0.28299505,a
